numero_economico,empresa
120,CISA
121,CISA
122,CISA
123,CISA
139,CISA
140,CISA
141,CISA
142,CISA
143,CISA
144,CISA
145,CISA
146,CISA
147,CISA
152,VYCSA
153,VYCSA
156,VYCSA
214,RTP
218,RTP
219,RTP
220,RTP
221,RTP
222,RTP
223,RTP
224,RTP
225,RTP
226,RTP
227,RTP
228,RTP
229,RTP
230,RTP
231,RTP
232,RTP
233,RTP
235,RTP
301,CE4-17M
302,CE4-17M
303,CE4-17M
304,CE4-17M
305,CE4-17M
306,CE4-17M
307,CE4-17M
308,CE4-17M
309,CE4-17M
310,CE4-17M
311,CE4-17M
312,CE4-17M
313,CE4-17M
314,CE4-17M
315,CE4-17M
316,CE4-17M
317,CE4-17M
318,CE4-17M
319,CE4-17M
320,CE4-17M
364,CTT
366,CTT
367,CTT
372,CTT
373,CTT
457,MIVSA
461,MIVSA
462,MIVSA
463,MIVSA
464,MIVSA
465,MIVSA
466,MIVSA
467,MIVSA
468,MIVSA
469,MIVSA
470,MIVSA
471,MIVSA
472,MIVSA
500,CCASA
501,CCASA
502,CCASA
503,CCASA
504,CCASA
505,CCASA
506,CCASA
507,CCASA
508,CCASA
509,CCASA
510,CCASA
511,CCASA
512,CCASA
513,CCASA
514,CCASA
515,CCASA
516,CCASA
517,CCASA
518,CCASA
519,CCASA
520,CCASA
521,CCASA
522,CCASA
523,CCASA
524,CCASA
525,CCASA
526,CCASA
527,CCASA
528,CCASA
529,CCASA
530,CCASA
531,CCASA
532,CCASA
533,CCASA
534,CCASA
535,CCASA
536,CCASA
537,CCASA
538,CCASA
539,CCASA
540,CCASA
541,CCASA
542,CCASA
543,CCASA
544,CCASA
545,CCASA
546,CCASA
547,CCASA
548,CCASA
549,CCASA
550,CCASA
551,CCASA
552,CCASA
553,CCASA
554,CCASA
555,CCASA
556,CCASA
557,CCASA
558,CCASA
559,CCASA
560,CCASA
561,CCASA
562,CCASA
563,CCASA
564,CCASA
565,CCASA
566,CCASA
567,CCASA
568,CCASA
569,CCASA
570,CCASA
571,CCASA
572,CCASA
573,CCASA
574,CCASA
575,CCASA
576,CCASA
577,CCASA
578,CCASA
579,CCASA
580,CCASA
581,CCASA
582,CCASA
583,CCASA
584,CCASA
585,CCASA
586,CCASA
587,CCASA
588,CCASA
589,CCASA
590,CCASA
591,CCASA
592,CCASA
593,CCASA
594,CCASA
595,CCASA
596,CCASA
597,CCASA
598,CCASA
599,CCASA
600,CITEMSA
601,CITEMSA
602,CITEMSA
603,CITEMSA
604,CITEMSA
605,CITEMSA
606,CITEMSA
607,CITEMSA
608,CITEMSA
609,CITEMSA
610,CITEMSA
611,CITEMSA
612,CITEMSA
613,CITEMSA
614,CITEMSA
615,CITEMSA
616,CITEMSA
617,CITEMSA
618,CITEMSA
619,CITEMSA
620,CITEMSA
621,CITEMSA
622,CITEMSA
623,CITEMSA
624,CITEMSA
625,CITEMSA
626,CITEMSA
627,CITEMSA
628,CITEMSA
629,CITEMSA
630,CITEMSA
631,CITEMSA
632,CITEMSA
633,CITEMSA
634,CITEMSA
635,CITEMSA
636,CITEMSA
637,CITEMSA
638,CITEMSA
639,CITEMSA
640,CITEMSA
641,CITEMSA
642,CITEMSA
643,CITEMSA
644,CITEMSA
645,CITEMSA
646,CITEMSA
647,CITEMSA
648,CITEMSA
649,CITEMSA
650,CITEMSA
651,CITEMSA
652,CITEMSA
653,CITEMSA
654,CITEMSA
655,CITEMSA
656,CITEMSA
657,CITEMSA
658,CITEMSA
659,CITEMSA
660,CITEMSA
661,CITEMSA
662,CITEMSA
663,CITEMSA
664,CITEMSA
665,CITEMSA
666,CITEMSA
667,CITEMSA
668,CITEMSA
669,CITEMSA
670,CITEMSA
671,CITEMSA
672,CITEMSA
673,CITEMSA
674,CITEMSA
675,CITEMSA
676,CITEMSA
677,CITEMSA
678,CITEMSA
679,CITEMSA
680,CITEMSA
681,RTP
682,CITEMSA
683,RTP
684,CITEMSA
685,RTP
686,CITEMSA
687,CITEMSA
688,CITEMSA
689,CITEMSA
690,CITEMSA
691,CITEMSA
692,CITEMSA
693,CITEMSA
694,CITEMSA
695,CITEMSA
696,CITEMSA
697,CITEMSA
698,CITEMSA
699,CITEMSA
701,CE4-17M
702,CE4-17M
703,CE4-17M
704,CE4-17M
705,CE4-17M
706,CE4-17M
